"kartez","genus","sp_epithet","LifeHistory","FunctionalGroup","PhotoPath"
"ACNE","Acalypha","neomexicana","a","f","C3"
"ALIN","Allionia","incarnata","p","f","C4"
"AMPA","Amaranthus","palmeri","a","f","C4"
"APRAH","Aphanostephus","ramosissimus","p","f","C3"
"ARAD","Aristida","adscensionis","a","g","C4"
"ARFEF","Arabis","fendleri","p","f","C3"
"ARPU9","Aristida","purpurea","p","g","C4"
"ASFE2","Astragalus","missouriensis","p","f","C3"
"ASNU4","Astragalus","nuttallianus","p","f","C3"
"BAABA","Bahia","absinthifolia","p","f","C3"
"BADI","Bahia","dissecta","p","f","C3"
"BELY","Berlandiera","lyrata","p","f","C3"
"BOBA2","Bouteloua","barbata","a","g","C4"
"BOCU","Bouteloua","curtipendula","p","g","C4"
"BOER4","Bouteloua","eriopoda","p","g","C4"
"BOGR2","Bouteloua","gracilis","p","g","C4"
"BOHI2","Bouteloua","hirsuta","p","g","C4"
"BRCA3","Brickellia","californica","p","s","C3"
"BREUC2","Brickellia","eupatorioides","p","f","C3"
"CHAL11","Chamaesyce","albomarginata","p","f","C4"
"CHCHC3","Chamaesyce","chaetocalyx","p","f","C4"
"CHCO2","Chamaesaracha","coronopus","p","f","C3"
"CHER2","Chaetopappa","ericoides","p","f","C3"
"CHGR2","Chenopodium","graveolens","a","f","C3"
"CHIN2","Chenopodium","incanum","a","f","C3"
"CHRE4","Chamaesyce","revoluta","a","f","C4"
"CHSE7","Chamaesyce","serrula","a","f","C4"
"CHSES","Chamaesyce","serpyllifolia","a","f","C4"
"CINE","Cirsium","neomexicanum","p","f","C3"
"COEQ","Convolvulus","equitans","p","f","C3"
"CRCR3","Cryptantha","crassisepala","a","f","C3"
"DABR","Dalea","brachystachya","a","f","C3"
"DAPU7","Dasyochloa","pulchella","p","g","C4"
"DRGL5","Drymaria","glandulosa","a","f","C3"
"ELEL5","Elymus","elymoides","p","g","C3"
"ENDE","Enneapogon","desvauxii","p","g","C4"
"EPTO","Ephedra","torreyana","p","s","C3"
"ERAB2","Eriogonum","abertianum","a","f","C3"
"ERCI","Eragrostis","cilianensis","a","g","C4"
"ERWR","Eriogonum","wrightii","p","s","C3"
"EUEX4","Euphorbia","exstipulata","a","f","C3"
"EVNU","Evolvulus","nuttallianus","p","f","C3"
"GACO5","Gaura","coccinea","p","f","C3"
"GASUN","Gaura","suffulta","a","f","C3"
"GLBI2","Glandularia","bipinnatifida","p","f","C3"
"GUSA2","Gutierrezia","sarothrae","p","s","C3"
"HENA","Hedeoma","nana","p","f","C3"
"HEPI2","Heterosperma","pinnatum","a","f",NA
"HODR","Hoffmannseggia","drepanocarpa","p","f","C3"
"HYFIC","Hymenopappus","filifolius","p","f","C3"
"IPCO2","Ipomoea","costellata","a","f","C3"
"IPPU4","Ipomopsis","pumila","a","f","C3"
"KAPA","Kallstroemia","parviflora","a","f","C4"
"LAOCO","Lappula","occidentalis","a","f","C3"
"LATR2","Larrea","tridentata","p","s","C3"
"LEFE","Lesquerella","fendleri","p","f","C3"
"LEPI3","Lesquerella","pinetorum","p","f","C3"
"LIPU4","Linum","puberulum","a","f","C3"
"LYPH","Lycurus","phleoides","p","g","C4"
"MAPIP","Machaeranthera","pinnatifida","p","f","C3"
"MELE2","Melampodium","leucanthum","p","f","C3"
"MESC","Menodora","scabra","p","f","C3"
"MILI3","Mirabilis","linearis","p","f","C3"
"MUAR","Muhlenbergia","arenacea","p","g","C4"
"MUAR2","Muhlenbergia","arenicola","p","g","C4"
"MUPA2","Muhlenbergia","pauciflora","p","g","C4"
"MUPO2","Muhlenbergia","porteri","p","g","C4"
"MUTO2","Muhlenbergia","torreyi","p","g","C4"
"NADI","Nama","dichotomum","a","f","C3"
"NAHI","Nama","hispidum","a","f","C3"
"OECA10","Oenothera","caespitosa","p","f","C3"
"PEAN","Pectis","angustifolia","a","f","C4"
"PEFE","Penstemon","fendleri","p","f","C3"
"PHCR","Phacelia","crenulata","a","f","C3"
"PLJA","Pleuraphis","jamesii","p","g","C4"
"PLPA2","Plantago","patagonica","a","f","C3"
"POHA5","Portulaca","halimoides","a","f","C4"
"POOL","Portulaca","oleracea","a","f","C4"
"RHTR","Rhus","trilobata","p","s","C3"
"SAAB","Sanvitalia","abertii","a","f","C3"
"SASU7","Salvia","subincisa","a","f","C3"
"SATR12","Salsola","tragus","a","f","C4"
"SCBR2","Scleropogon","brevifolius","p","g","C4"
"SCMU6","Schkuhria","multiflora","a","f","C3"
"SEBA3","Senna","bauhinioides","p","f","C3"
"SEDI3","Selinocarpus","diffusus","p","s","C3"
"SEFLF","Senecio","flaccidus","p","f","C3"
"SOEL","Solanum","elaeagnifolium","p","f","C3"
"SPCO4","Sporobolus","contractus","p","g","C4"
"SPCOC","Sphaeralcea","coccinea","p","f","C3"
"SPFL2","Sporobolus","flexuosus","p","g","C4"
"SPHA","Sphaeralcea","hastulata","p","f","C3"
"SPORO","Sporobolus",NA,"p","g","C4"
"SPPO6","Sphaeralcea","polychroma","p","f","C3"
"STPA4","Stephanomeria","pauciflora","p","f","C3"
"TECO","Tetraclea","coulteri","p","f","C3"
"THAC","Thymophylla","acerosa","p","f","C3"
"TILA2","Tidestromia","lanuginosa","a","f","C4"
"ZIGR","Zinnia","grandiflora","p","s","C3"
