"kartez","genus","sp.epithet","LifeHistory","FunctionalGroup","PhotoPath"
"SPCR","Sporobolus","cryptandrus","perennial","grass","C4"
"CHLA10","Chamaesyce","lata","perennial","forb","C4"
"TRRA","Tragus","racemosus","annual","grass","C3"
"OPPH","Opuntia","phaeacantha","perennial","shrub","CAM"
"CYIMI","Cylindropuntia","imbricata","perennial","shrub","CAM"
"ARDI5","Aristida","divaricata","perennial","grass","C4"
"ARLUL2","Artemisia","ludoviciana","perennial","forb","C3"
"SPAI","Sporobolus","airoides","perennial","grass","C4"
"OPMA8","Opuntia","macrocenta","perennial","shrub","CAM"
"ASMIM","Astragalus","missouriensis","perennial","forb","C3"
"MAFE","Malacothrix","fendleri","annual","forb","C3"
"PHIN","Phacelia","integrifolia","perennial","forb","C3"
"ALMA4","Allium","macropetalum","perennial","forb","C3"
"CYACF","Cymopterus","acaulis","perennial","forb","C3"
"GRCL","Grusonia","clavata","perennial","shrub","CAM"
"MUSQ3","Munroa","squarrosa","annual","grass","C4"
"ECIN2","Ecinomastus","intertextus","perennial","shrub","CAM"
"MIAL4","Mirabilis","albida","perennial","forb","C3"
"ATCA2","Atriplex","canescens","perennial","shrub","C4"
"ESVIV","Escobaria","vivipara","perennial","shrub","CAM"
"ERTE13","Erodium","texanum","annual","forb","C3"
"TOAN","Townsendia","annua","annual","forb","C3"
"DEPI","Descurainia","pinnata","perennial","forb","C3"
"CHFE3","Chamaesyce","fendleri","perennial","forb","C4"
"SOJA","Solanum","jamesii","perennial","forb","C3"
"THWR","Thelypodium","wrightii","perennial","forb","C3"
"ERCI6","Erodium","cicutarium","annual","forb","C3"
"POFE","Poa","fendleriana","perennial","grass","C3"
"OPUNT","Opuntia",NA,"perennial","shrub","CAM"
"ERFL","Erigeron","flagellaris","annual","forb","C3"
"ECCOC","Echinocereus","coccineus","perennial","shrub","CAM"
"HYVE","Hybanthus","verticillatus","perennial","forb","C3"
"NOMI","Nolina","microcarpa","perennial","shrub","C3"
"MIMU","Mirabilis","multiflora","perennial","forb","C3"
"MIOX","Mirabilis","oxybaphoides","perennial","forb","C3"
"BAPT","Baccharis","pteronioides","perennial","shrub","C3"
"DAFO","Dalea","formosa","perennial","shrub","C3"
"LOPL2","Lotus","plebeius","perennial","forb","C3"
"DRCUC","Draba","cuneifolia","annual","forb","C3"
"NECA3","Nerisyrenia","camporum","perennial","forb","C3"
"LEDED","Lepidium","densiflorum","annual","forb","C3"
"OPEN3","Opuntia","engelmannii","perennial","shrub","CAM"
"IPLA2","Ipomopsis","laxiflora","annual","forb","C3"
"MAHA4","Mahonia","haematocarpa","perennial","shrub","C3"
"LUBR2","Lupinus","brevicaulis","annual","forb","C3"
"HENE5","Hesperostipa","neomexicana","perennial","grass","C3"
"PSTAT","Psilostrophe","tagetina","perennial","forb","C3"
"GIME","Gilia","mexicana","annual","forb","C3"
"VUOC","Vulpia","octoflora","annual","grass","C3"
"PEBA2","Penstemon","barbatus","perennial","forb","C3"
"HEOB","Hedeoma","oblongifolia","perennial","forb","C3"
"BRBR2","Brickellia","brachyphylla","perennial","forb","C3"
"ECFEF3","Echinocereus","fendleri","perennial","shrub","CAM"
"PHHE4","Physalis","hederifolia","perennial","forb","C3"
"IPCR","Ipomoea","cristulata","annual","forb","C3"
"TEAR4","Tetraneuris","argentea","perennial","forb","C3"
"ASTRA","Astragalus",NA,"perennial","forb","C3"
"AGHE5","Ageratina","herbacea","perennial","forb","C3"
"ARIST","Aristida",NA,"perennial","grass","C4"
"PHLOL3","Physalis","longifolia","perennial","forb","C3"
"ERME","Eragrostis","mexicana","annual","grass","C4"
"FUCR","Funastrum","crispum","perennial","forb","C3"
"SIAL2","Sisymbrium","altissimum","annual","forb","C3"
